# de Alcobas,# de Baños Completos,# de Niveles ,Administración $,Area Terraza en M2,Año de construcción,Cantidad de Parqueaderos,Estrato,Latitud,Longitud,M2 Area Construida,Piso #,Precio,Predial $,AnoDeExtraccion,MesDeExtraccion
3.0,2.0,1.0,,0.0,2020.0,1.0,4.0,11.00481896917722,-74.79657178465574,81.23,6.0,288366500.0,,2020,5
2.0,2.0,1.0,444000.0,0.0,1987.0,1.0,6.0,4.694741622045908,-74.03593533914795,84.0,4.0,375000000.0,1693000.0,2020,5
3.0,2.0,1.0,306000.0,0.0,2015.0,1.0,4.0,4.865961141214858,-74.0492402336215,76.0,4.0,270000000.0,456594.0,2020,5
2.0,3.0,1.0,445000.0,0.0,2007.0,2.0,6.0,4.690820899999999,-74.05390549999998,89.0,3.0,590000000.0,3377000.0,2020,5
3.0,2.0,1.0,109800.0,0.0,2010.0,0.0,3.0,4.567105976176033,-74.10641335255258,51.0,3.0,135000000.0,199000.0,2020,5
3.0,3.0,1.0,1400000.0,0.0,1983.0,2.0,6.0,11.0152561,-74.8200832,303.0,5.0,670000000.0,,2020,5
2.0,1.0,1.0,74000.0,0.0,2015.0,1.0,2.0,4.9918699,-73.87076000000002,47.0,4.0,128000000.0,200000.0,2020,5
3.0,2.0,1.0,330000.0,0.0,1969.0,1.0,4.0,10.982594,-74.805565,162.59,5.0,220000000.0,1634400.0,2020,5
2.0,1.0,1.0,250000.0,0.0,2019.0,1.0,4.0,10.944605056786422,-74.82395336931154,79.0,6.0,329000000.0,,2020,5
2.0,2.0,1.0,116400.0,0.0,2008.0,0.0,4.0,4.741254899999999,-74.05912060000003,58.25,3.0,230000000.0,472000.0,2020,5
3.0,3.0,1.0,430000.0,10.0,2008.0,2.0,5.0,4.686919400000002,-74.03742979999998,152.0,2.0,925000000.0,4982000.0,2020,5
3.0,2.0,1.0,70000.0,0.0,2015.0,1.0,3.0,4.672454399999999,-74.1419237,63.9,4.0,240000000.0,600000.0,2020,5
3.0,2.0,1.0,120000.0,0.0,2008.0,0.0,3.0,4.7513213,-74.05570949999998,46.0,3.0,170000000.0,298000.0,2020,5
3.0,3.0,1.0,,0.0,2018.0,2.0,6.0,11.010805,-74.8216971,124.92,4.0,485000000.0,,2020,5
3.0,3.0,1.0,,0.0,2018.0,2.0,6.0,11.010805,-74.8216971,103.86,9.0,455000000.0,,2020,5
2.0,2.0,1.0,199100.0,0.0,2012.0,1.0,4.0,4.720521,-73.96863100000002,57.51,2.0,220000000.0,146200.0,2020,5
3.0,2.0,1.0,280000.0,0.0,2000.0,1.0,6.0,11.005790278441822,-74.8191565208931,87.0,9.0,280000000.0,1449000.0,2020,5
4.0,4.0,1.0,900000.0,0.0,2005.0,3.0,6.0,10.982594,-74.805565,421.0,21.0,1300000000.0,,2020,5
3.0,2.0,1.0,395000.0,0.0,2009.0,2.0,4.0,4.6920553,-74.06838640000002,112.92,9.0,540000000.0,1480000.0,2020,5
3.0,1.0,1.0,,0.0,1984.0,1.0,5.0,10.982594,-74.805565,88.0,,200000000.0,,2020,5
3.0,3.0,1.0,437000.0,0.0,2009.0,2.0,4.0,4.7332407,-74.05673000000002,137.25,4.0,698000000.0,2598000.0,2020,5
3.0,2.0,1.0,245000.0,0.0,2006.0,1.0,4.0,11.0021691,-74.83298460000003,90.0,7.0,230000000.0,,2020,5
