Administracion,Area,Banos,Barrio,Ciudad,Estrato,ExtractionDate,Habitaciones,Latitud,Longitud,Parqueaderos,Precio,ScreenshotPath,SitioWeb
,140.0,4.0,Santa M de los Angeles,Medellín,6.0,2022-09-17,3.0,6.20159912109375,-75.57213592529297,0.0,930000000.0,Images/fincaraiz_5290397.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/santa-m-de-los-angeles/medellin/5290397
820000.0,223.0,4.0,Santa María de los Ángeles,Medellín,6.0,2022-09-17,3.0,6.190701961517334,-75.5783920288086,3.0,2610000000.0,Images/fincaraiz_5308745.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/santa-maria-de-los-angeles/medellin/5308745
540000.0,234.0,3.0,Santa María de los Ángeles,Medellín,6.0,2022-09-17,3.0,6.190701961517334,-75.5783920288086,3.0,1993000000.0,Images/fincaraiz_5308750.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/santa-maria-de-los-angeles/medellin/5308750
,82.0,2.0,cumbres,Envigado,5.0,2022-09-17,1.0,6.20159912109375,-75.57213592529297,0.0,395000000.0,Images/fincaraiz_5330972.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/cumbres/envigado/5330972
718000.0,115.0,3.0,El Poblado,Medellín,6.0,2022-09-17,3.0,6.200598239898682,-75.56979370117188,2.0,600000000.0,Images/fincaraiz_5350139.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-poblado/medellin/5350139
780000.0,184.0,4.0,Santa María de los Ángeles,Medellín,6.0,2022-09-17,3.0,6.18964147567749,-75.5733642578125,2.0,750000000.0,Images/fincaraiz_5367401.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/santa-maria-de-los-angeles/medellin/5367401
748000.0,153.0,5.0,Santa María de los Ángeles,Medellín,5.0,2022-09-17,4.0,6.2486066818237305,-75.57424926757812,3.0,900000000.0,Images/fincaraiz_5369909.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/santa-maria-de-los-angeles/medellin/5369909
254800.0,71.0,2.0,La Pilarica,Medellín,5.0,2022-11-05,3.0,6.27570104598999,-75.58357238769531,1.0,320000000.0,Images/fincaraiz_5372976.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/la-pilarica/medellin/5372976
450000.0,157.0,5.0,LOMA BENEDICTINOS,Envigado,5.0,2022-09-17,4.0,6.178855895996094,-75.57511138916016,3.0,1150000000.0,Images/fincaraiz_5376108.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/loma-benedictinos/envigado/5376108
,77.0,2.0,SURAMERICA,Itaguí,4.0,2022-09-17,2.0,6.161766529083252,-75.63079833984375,1.0,365000000.0,Images/fincaraiz_5393686.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/suramerica/itagui/5393686
152000.0,74.0,2.0,Barrio Triste,Medellín,4.0,2022-09-17,2.0,6.250656127929688,-75.58294677734375,1.0,380000000.0,Images/fincaraiz_5395972.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/barrio-triste/medellin/5395972
398000.0,124.0,3.0,El Poblado,Medellín,5.0,2022-09-17,4.0,6.20163106918335,-75.56666564941406,2.0,530000000.0,Images/fincaraiz_5402087.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/el-poblado/medellin/5402087
618732.0,162.0,3.0,Loma de los Gonzalez,Medellín,6.0,2022-11-05,3.0,6.197542667388916,-75.558837890625,2.0,660000000.0,Images/fincaraiz_5435800.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/loma-de-los-gonzalez/medellin/5435800
920000.0,400.0,6.0,Laureles,Medellín,5.0,2022-10-16,5.0,6.246057510375977,-75.59724426269531,4.0,1400000000.0,Images/fincaraiz_5467100.jpeg,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/laureles/medellin/5467100
